ID Geography,Geography,Diabetes Monitoring (2014),Diabetes Monitoring (2015),Diabetes Monitoring (2016),Diabetes Monitoring (2017),Diabetes Monitoring (2018),Diabetes Monitoring CI High (2014),Diabetes Monitoring CI High (2015),Diabetes Monitoring CI High (2016),Diabetes Monitoring CI High (2017),Diabetes Monitoring CI High (2018),Diabetes Monitoring CI Low (2014),Diabetes Monitoring CI Low (2015),Diabetes Monitoring CI Low (2016),Diabetes Monitoring CI Low (2017),Diabetes Monitoring CI Low (2018),Food Environment Index (2014),Food Environment Index (2015),Food Environment Index (2016),Food Environment Index (2017),Food Environment Index (2018),Median Age (2013),Median Age (2014),Median Age (2015),Median Age (2016),Median Age (2017),Median Age (2018),Median Age Moe (2013),Median Age Moe (2014),Median Age Moe (2015),Median Age Moe (2016),Median Age Moe (2017),Median Age Moe (2018)
"04000US39","Ohio",0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.85136479139328,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8600000143051147,0.8565675020217896,0.8299999833106995,0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8461620211601257,7.380000114440918,7.099999904632568,6.900000095367432,7,6.599999904632568,39.3,39.4,39.3,39.3,39.3,39.5,0.1,0.1,0.1,0.1,0.1,0.1
"04000US38","North Dakota",0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8700000047683716,0.8659691214561462,0.8799999952316284,0.8799999952316284,0.8799999952316284,0.8899999856948853,0.8863256573677063,0.8399999737739563,0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8456125855445862,8.717000007629395,8.5,8.399999618530273,8.399999618530273,9.100000381469727,35.5,35.1,34.9,35,35.4,35.4,0.2,0.2,0.3,0.3,0.3,0.3
"04000US37","North Carolina",0.8799999952316284,0.8899999856948853,0.8899999856948853,0.8899999856948853,0.8884581327438354,0.8899999856948853,0.8899999856948853,0.8999999761581421,0.8899999856948853,0.8935517072677612,0.8799999952316284,0.8799999952316284,0.8899999856948853,0.8799999952316284,0.8833646178245544,6.947000026702881,6.599999904632568,6.699999809265137,6.800000190734863,6.400000095367432,37.9,38.3,38.4,38.7,38.8,38.9,0.1,0.1,0.1,0.1,0.1,0.2
"04000US36","New York",0.8500000238418579,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8586885333061218,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8631588816642761,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8542181849479675,8.312000274658203,8,7.900000095367432,8,9.100000381469727,38.2,38.2,38.3,38.4,38.7,39,0.1,0.1,0.2,0.1,0.1,0.1
"04000US06","California",0.8100000023841858,0.8100000023841858,0.8100000023841858,0.8199999928474426,0.8184654712677002,0.8100000023841858,0.8199999928474426,0.8100000023841858,0.8199999928474426,0.8220630288124084,0.800000011920929,0.8100000023841858,0.8100000023841858,0.8100000023841858,0.8148679137229919,7.60699987411499,7.5,7.699999809265137,7.800000190734863,8.800000190734863,35.7,36,36.2,36.4,36.5,36.7,0.1,0.1,0.1,0.2,0.2,0.1
"04000US35","New Mexico",0.75,0.7400000095367432,0.7300000190734863,0.7300000190734863,0.7276712656021118,0.7599999904632568,0.7599999904632568,0.75,0.7400000095367432,0.7390895485877991,0.7400000095367432,0.7300000190734863,0.7200000286102295,0.7200000286102295,0.7162529826164246,6.434000015258789,6.199999809265137,6.300000190734863,6.300000190734863,4.199999809265137,36.9,37.2,37.4,37.7,37.7,38.1,0.2,0.2,0.2,0.2,0.3,0.3
"04000US34","New Jersey",0.8299999833106995,0.8299999833106995,0.8399999737739563,0.8500000238418579,0.8454384207725525,0.8399999737739563,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8507691621780396,0.8199999928474426,0.8299999833106995,0.8399999737739563,0.8399999737739563,0.8401076197624207,8.3149995803833,8.100000381469727,8.199999809265137,8.199999809265137,9.199999809265137,39.4,39.4,39.6,39.5,39.8,40,0.2,0.2,0.2,0.1,0.2,0.1
"04000US33","New Hampshire",0.8899999856948853,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.9026941657066345,0.9100000262260437,0.9100000262260437,0.9200000166893005,0.9200000166893005,0.9162288904190063,0.8799999952316284,0.8899999856948853,0.8899999856948853,0.8899999856948853,0.8891593813896179,8.869999885559082,8.600000381469727,8.399999618530273,8.399999618530273,9.100000381469727,42.3,42.5,42.8,42.7,43.2,43.1,0.3,0.3,0.2,0.3,0.3,0.2
"04000US32","Nevada",0.7699999809265137,0.7699999809265137,0.7699999809265137,0.7699999809265137,0.7739013433456421,0.7799999713897705,0.7900000214576721,0.7799999713897705,0.7799999713897705,0.7845833897590637,0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7632193565368652,7.445000171661377,7.400000095367432,7.5,7.599999904632568,7.699999809265137,37.1,37.4,37.8,37.9,38,38.2,0.2,0.2,0.2,0.2,0.2,0.2
"04000US08","Colorado",0.8199999928474426,0.8299999833106995,0.8399999737739563,0.8399999737739563,0.8415498733520508,0.8299999833106995,0.8399999737739563,0.8500000238418579,0.8500000238418579,0.8518269658088684,0.8100000023841858,0.8199999928474426,0.8299999833106995,0.8299999833106995,0.8312727212905884,7.7129998207092285,7.400000095367432,7.5,7.699999809265137,8.199999809265137,36.4,36.3,36.4,36.7,36.8,36.9,0.2,0.1,0.1,0.2,0.2,0.1
